0;255;255;255;#Gea
1;8;0;255;#Okeanos Mundi
2;254;0;255;#Punta Dungeness
3;19;0;200;#Bahia Posesion
4;20;0;200;#Bahia Lomas
5;21;0;200;#East Mouth Magallean
6;22;0;200;#First Strech Magallean
7;23;0;200;#Primera Angostura
8;24;0;200;#Caleta Municiones
9;253;0;255;#Cabo Virgenes
10;253;1;255;#Bahia Azul/Punta Baja
11;253;2;255;#Punta Delgada
12;254;60;80;#General Lagos
13;255;60;80;#Arica
14;252;60;80;#Camarones
15;253;60;80;#Putre
16;213;249;246;#Huara
17;83;227;142;#Camiña
18;93;95;188;#Colchane
19;135;72;170;#Iquique
20;172;89;159;#Alto Hospicio
21;135;72;56;#Pozo Almonte
22;244;91;47;#Pica
23;210;164;147;#Tocopilla
24;62;140;154;#Maria Elena
25;136;135;192;#Calama
26;119;119;195;#Ollagüe
27;119;254;213;#Mejillones
28;127;108;118;#Sierra Gorda
29;200;220;58;#San Pedro de Atacama
30;233;54;191;#Antofagasta
31;240;253;129;#Taltal
32;134;69;81;#Chañaral
33;236;203;218;#Diego de Almagro
34;179;208;51;#Caldera
35;116;105;212;#Copiapo
36;80;65;253;#Huasco
37;220;251;141;#Vallenar
38;242;214;250;#Tierra Amarilla
39;144;122;89;#Freirina
40;100;205;230;#Alto del Carmen
41;237;110;111;#La Higuera
42;123;247;178;#Vicuña
43;132;54;46;#Paihuano
44;157;223;245;#La Serena
45;242;90;78;#Coquimbo
46;172;175;156;#Andacollo
47;68;141;207;#Rio Hurtado
48;226;152;251;#Ovalle
49;88;53;247;#Punitaqui
50;182;244;82;#Monte Patria
51;251;132;58;#Combarbala
52;72;210;121;#Canela
53;113;206;46;#Illapel
54;80;61;56;#Los Vilos
55;68;118;248;#Salamanca
56;202;208;196;#La Ligua 
57;200;163;45;#Petorca 
58;225;159;142;#Cabildo 
59;71;123;252;#Putaendo 
60;139;112;185;#Papudo
61;159;48;125;#Zapallar
62;161;149;112;#Puchuncavi
63;147;219;146;#Nogales
64;94;185;146;#Quillota y La Cruz (Fusionadas)
65;145;167;209;#Calera e Hijuelas (Fusionadas)
66;194;168;174;#Catemu
67;212;153;85;#Panquehue, San Felipe y Santa Maria (Fusionadas)
68;82;207;228;#San Esteban
69;85;249;205;#Los Andes
70;248;86;80;#Calle Larga
71;200;77;120;#Rinconada
72;123;57;52;#Llaillay
73;85;80;100;#Olmué
74;246;208;141;#Limache
75;198;207;105;#Villa Alemana
76;228;190;53;#Quipue
77;128;108;177;#Concon
78;156;252;86;#Viña del Mar
79;72;208;128;#Valparaiso
80;49;175;97;#Casablanca
81;52;50;99;#Algarrobo
82;45;138;106;#El Quisco
83;225;63;240;#El Tabo
84;60;118;141;#Cartagena
85;217;178;186;#San Antonio
86;74;91;234;#Santo Domingo
87;137;113;170;#Tiltil
88;159;212;82;#Colina
89;56;208;165;#Lo Barnechea
90;237;67;201;#San Jose de Maipo
91;176;120;242;#Pirque
92;183;206;121;#Paine
93;97;233;87;#Alhue
94;116;185;216;#San Pedro
95;87;124;207;#Melipilla
96;246;214;168;#Maria Pinto
97;177;151;54;#Coracaví
98;223;213;48;#Lampa
99;231;134;195;#Pudahuel + Maipu
100;216;60;65;#Calera de Tango + Peñaflor + Padre Hurtado
101;51;201;239;#Talagante + Isla de Maipo + El Monte
102;47;252;226;#Buin + San Bernardo
103;51;231;161;#Puente Alto + La Florida + Peñalolen + Macul y el resto
104;190;91;136;#La Reina + Las Condes + Vitacura + Huechuraba + Ñuñoa + Providencia + Recoleta
105;248;123;209;#Quilicura + Cerro Navia + Quinta Normal + Lo Prado + Conchali, Estacion Central + Santiago + Independencia...
