0;255;255;255;#Gea
1;8;0;255;#Okeanos Mundi
2;254;0;255;#Punta Dungeness
3;19;0;200;#Bahia Posesion
4;20;0;200;#Bahia Lomas
5;21;0;200;#East Mouth Magallean
6;22;0;200;#First Strech Magallean
7;23;0;200;#Primera Angostura
8;24;0;200;#Caleta Municiones
9;253;0;255;#Cabo Virgenes
10;253;1;255;#Bahia Azul/Punta Baja
11;253;2;255;#Punta Delgada
12;254;60;80;#General Lagos
13;255;60;80;#Arica
14;252;60;80;#Camarones
15;253;60;80;#Putre
16;213;249;246;#Huara
17;83;227;142;#Camiña
18;93;95;188;#Colchane
19;135;72;170;#Iquique
20;172;89;159;#Alto Hospicio
21;135;72;56;#Pozo Almonte
22;244;91;47;#Pica
23;210;164;147;#Tocopilla
24;62;140;154;#Maria Elena
25;136;135;192;#Calama
26;119;119;195;#Ollagüe
27;119;254;213;#Mejillones
28;127;108;118;#Sierra Gorda
29;200;220;58;#San Pedro de Atacama
30;233;54;191;#Antofagasta
31;240;253;129;#Taltal
32;134;69;81;#Chañaral
33;236;203;218;#Diego de Almagro
34;179;208;51;#Caldera
35;116;105;212;#Copiapo
36;80;65;253;#Huasco
37;220;251;141;#Vallenar
38;242;214;250;#Tierra Amarilla
39;144;122;89;#Freirina
40;100;205;230;#Alto del Carmen
41;237;110;111;#La Higuera
42;123;247;178;#Vicuña
43;132;54;46;#Paihuano
44;157;223;245;#La Serena
45;242;90;78;#Coquimbo
46;172;175;156;#Andacollo
47;68;141;207;#Rio Hurtado
48;226;152;251;#Ovalle
49;88;53;247;#Punitaqui
50;182;244;82;#Monte Patria
51;251;132;58;#Combarbala
52;72;210;121;#Canela
53;113;206;46;#Illapel
54;80;61;56;#Los Vilos
55;68;118;248;#Salamanca
